mileage,tax,mpg,engineSize,price
15735,150,55.4,1.4,12500
36203,20,64.2,2.0,16500
29946,30,55.4,1.4,11000
25952,145,67.3,2.0,16800
1998,145,49.6,1.0,17300
32260,30,58.9,1.4,13900
76788,30,61.4,2.0,13250
75185,20,70.6,2.0,11750
46112,20,60.1,1.4,10200
22451,30,55.4,1.4,12000
28955,145,58.9,1.4,16100
52198,125,57.6,2.0,16500
44915,145,52.3,2.0,17000
21695,30,58.9,1.4,16400
47348,30,61.4,2.0,15400
26156,145,58.9,1.4,14500
28396,145,53.3,2.0,15700
30516,30,56.5,1.4,13900
37652,200,47.1,2.0,19000
34110,145,47.9,1.4,17000
37100,145,67.3,2.0,17300
23714,200,47.1,2.0,20200
21649,145,58.9,3.0,22500
62748,150,53.3,3.0,17500
23789,200,47.1,2.0,20000
17418,145,62.8,2.0,18500
33300,145,61.4,2.0,19500
10793,145,56.5,1.4,15800
25138,145,70.6,2.0,17200
61176,30,62.8,2.0,14000
54754,0,76.3,1.6,9500
21369,125,51.4,1.4,16500
39190,205,47.9,2.0,15000
47482,150,47.9,1.4,16000
40501,150,51.4,2.0,16900
43195,200,47.9,2.0,12300
31447,145,67.3,1.0,10800
34030,125,58.9,2.0,19400
29063,145,70.6,2.0,16000
29545,145,65.7,2.0,17100
75619,20,68.9,2.0,11300
39603,160,50.4,2.0,17200
42908,145,51.4,2.0,20300
83872,125,58.9,2.0,13200
58750,145,47.9,1.4,15200
2029,145,49.6,1.0,15700
22958,145,50.4,1.8,16600
32097,145,72.4,2.0,14400
13057,145,53.3,2.0,20200
20278,145,38.7,3.0,23700
52561,0,74.3,2.0,12750
31604,20,67.3,2.0,13000
32011,145,49.6,1.4,15900
39134,30,60.1,2.0,15000
89483,205,47.1,2.0,14700
56291,200,42.8,1.8,15000
47767,20,61.4,2.0,16000
34315,125,53.3,1.4,11000
66369,0,83.1,1.6,10200
34110,30,61.4,2.0,18500
76269,0,74.3,1.6,7000
37840,20,70.6,1.6,10600
26249,30,67.3,1.6,16000
44898,125,57.7,2.0,15000
67161,150,51.4,1.4,14000
17992,150,54.3,1.5,18950
97440,20,70.6,2.0,10200
19268,150,67.3,1.0,11700
51441,125,50.4,1.8,11500
18181,0,67.3,1.0,10800
19494,30,67.3,2.0,12500
32808,30,61.4,2.0,16600
25965,145,65.7,2.0,13100
88215,20,68.9,2.0,8300
5704,145,49.6,1.0,16000
10959,145,51.4,1.4,16900
30201,200,47.1,2.0,19600
19319,145,40.4,2.0,21800
22582,145,61.4,2.0,16200
20052,145,49.6,2.0,18700
16666,30,60.1,2.0,16100
25626,0,74.3,1.6,11300
10460,20,60.1,1.4,14100
43307,125,57.6,2.0,16600
29327,30,55.4,1.4,11300
36714,125,51.4,1.4,15600
28324,125,53.3,1.4,10000
12100,30,56.5,1.4,14500
18001,145,62.8,2.0,16100
28760,30,55.4,1.4,10600
4000,145,44.1,1.5,25499
7897,145,47.9,2.0,25499
24744,125,56.5,3.0,15500
30075,160,51.4,2.0,16200
12577,30,58.9,1.4,14000
24421,30,61.4,2.0,17300
15567,0,76.3,1.6,10600
15207,145,51.4,1.4,17500
14864,145,52.3,1.4,15000
9000,145,38.7,2.0,25499
5000,145,38.7,2.0,25000
4264,145,33.2,2.0,31000
4000,145,42.8,2.0,28000
4000,145,42.2,1.5,28000
2721,145,49.6,1.6,21499
4000,145,42.2,1.5,26000
49649,235,42.2,3.0,30000
14068,145,51.4,1.4,17000
23092,145,52.3,1.4,14500
30682,160,50.4,2.0,17500
18272,0,67.3,1.0,10500
23714,145,68.9,1.6,14800
71311,30,61.4,2.0,12000
29477,145,61.4,2.0,22000
60551,200,47.1,2.0,17800
42071,30,61.4,2.0,19800
55774,235,44.8,3.0,19500
36462,0,76.3,1.6,9800
25376,30,57.6,1.4,15500
39388,145,67.3,2.0,16800
64207,20,67.3,2.0,11500
49221,145,55.4,1.4,12100
27179,0,76.3,1.6,12700
31376,125,58.9,2.0,11700
62668,145,53.3,2.0,11500
10001,145,51.4,1.4,17400
52544,30,61.4,2.0,16000
63097,125,49.6,2.0,13100
72967,30,61.4,2.0,14700
32771,145,70.6,2.0,21100
